"","City","Longitude","Latitude"
"716","madrid",-78.0833333,21.9
"717","madrid",-69.7833333,19.1833333
"718","madrid",-3.69222,40.408566
"719","madrid",9.7166667,1.0833333
"720","madrid",-103.866667,19.083333
"721","madrid",125.964367,9.262114
"722","madrid",16.2,58.316667
"723","madrid",-85.3933333,31.0355556
"724","madrid",-106.6416667,37.1269444
"725","madrid",-93.8230556,41.8766667
"726","madrid",-86.3422222,37.6122222
"727","madrid",-70.4625,44.8644444
"728","madrid",-101.5430556,40.85
"729","madrid",-106.1519444,35.4066667
"730","madrid",-75.1313889,44.7502778
"731","madrid",-78.8808333,38.1394444
"732","madrid",66.9666667,39.7
"733","toronto",151.6,-33
"734","toronto",-79.416667,43.666667
"735","toronto",-74.920251,7.960212
"736","toronto",-75.279068,8.403959
"737","toronto",-82.5,22.7833333
"738","toronto",38.1,-4.9
"739","toronto",-89.6297222,39.7138889
"740","toronto",-87.4955556,39.7816667
"741","toronto",-90.8638889,41.905
"742","toronto",-95.9488889,37.7988889
"743","toronto",-92.5252778,38.0036111
"744","toronto",-80.6011111,40.4641667
"745","toronto",-96.6422222,44.5730556
"746","toronto",-103.7502778,30.34
"747","khartoum",32.5341667,15.5880556
